_id,Id_barrio,Cod_barrio,Cod_comuna,Nombre,Area (ha),Perimetro (m),Estrato_moda
322,2104,2104,21,El Remanso,12.78,2140.9,1
323,2105,2105,21,Los Lideres,9.3,1361.6,1
324,2106,2106,21,Desepaz Invicali,29.88,2680.1,1
325,2107,2107,21,Compartir,30.58,2707.1,1
326,2108,2108,21,Ciudad Talanga,33.18,2734.7,1
327,2194,2194,21,Villamercedes I - Villa Luz - Las Garzas,24.42,2191.4,1
328,2195,2195,21,Pizamos III - Las Dalias,11.79,2321,1
329,2196,2196,21,Potrero Grande,60.08,3443.5,1
330,2197,2197,21,Ciudadela del Rio,40.02,3246.3,2
331,2198,2198,21,Valle Grande,63.4,3404.1,2
332,2199,2199,21,Planta de Tratamiento,71.35,3838.7,10
333,2201,2201,22,Urbanización Ciudad Jardin,170.02,6792.1,6
334,2296,2296,22,Parcelaciones Pance,784.01,11996.3,6
335,2297,2297,22,Urbanización Rio Lili,22.54,2128.3,6
336,2298,2298,22,Ciudad Campestre,20.2,1707.9,6
337,2299,2299,22,Club Campestre,63.48,5144.5,6
